frame,time_sec,timecode,gray_diff,hist_diff,edge_diff,composite
310,12.93,00:12.93,0.015138,0.050978,0.01956,0.028124
311,12.971,00:12.97,0.015939,0.043563,0.015324,0.025546
312,13.013,00:13.01,0.014591,0.038689,0.02081,0.023647
313,13.055,00:13.05,0.015691,0.023259,0.01287,0.018058
314,13.096,00:13.10,0.013664,0.023375,0.015046,0.017201
315,13.138,00:13.14,0.012812,0.028115,0.012014,0.018088
316,13.18,00:13.18,0.014126,0.029558,0.014352,0.01955
317,13.222,00:13.22,0.013233,0.026001,0.012014,0.01758
318,13.263,00:13.26,0.012262,0.065706,0.011157,0.030857
319,13.305,00:13.30,0.011092,0.051217,0.009375,0.024964
320,13.347,00:13.35,0.01539,0.031555,0.010417,0.020551
321,13.388,00:13.39,0.009586,0.026217,0.007199,0.015168
322,13.43,00:13.43,0.010244,0.063954,0.007986,0.028817
323,13.472,00:13.47,0.010848,0.057742,0.004884,0.026665
324,13.514,00:13.51,0.008115,0.032427,0.007199,0.016533
325,13.555,00:13.56,0.011729,0.023697,0.005602,0.015305
326,13.597,00:13.60,0.009804,0.076637,0.007269,0.032942
327,13.639,00:13.64,0.010603,0.051022,0.004306,0.02412
328,13.68,00:13.68,0.010311,0.028615,0.00537,0.016224
329,13.722,00:13.72,0.009788,0.025518,0.003958,0.014711
330,13.764,00:13.76,0.010931,0.04852,0.00588,0.023582
331,13.805,00:13.81,0.007318,0.060596,0.002778,0.025511
332,13.847,00:13.85,0.008669,0.030212,0.006481,0.01599
333,13.889,00:13.89,0.010788,0.023601,0.003681,0.014562
334,13.931,00:13.93,0.010054,0.061111,0.008171,0.027736
335,13.972,00:13.97,0.008994,0.052983,0.003472,0.023838
336,14.014,00:14.01,0.011543,0.030105,0.009838,0.017869
337,14.056,00:14.06,0.009988,0.019452,0.002917,0.012593
338,14.097,00:14.10,0.01482,0.043335,0.010949,0.024413
339,14.139,00:14.14,0.008107,0.046669,0.001782,0.020971
340,14.181,00:14.18,0.016291,0.045401,0.010093,0.02586
341,14.223,00:14.22,0.009626,0.032943,0.001528,0.016977
342,14.264,00:14.26,0.014032,0.078025,0.004792,0.035505
343,14.306,00:14.31,0.010082,0.055596,0.000579,0.025061
344,14.348,00:14.35,0.010434,0.017238,0.000579,0.01183
345,14.389,00:14.39,0.006655,0.029124,0.000509,0.013904
346,14.431,00:14.43,0.009875,0.034891,0.000579,0.017701
347,14.473,00:14.47,0.009174,0.019998,0.000625,0.012107
